Species,Site,gross_photosynthesis,SA
Porites cylindrica,High,1.415947824,5.397
Heliopora coerulea,High,1.368961123,6.347
Seriatopora hystrix,Low,0.940215787,2.082
Seriatopora hystrix,Low,0.937568732,7.882
Acropora tenuis,Low,0.623263493,8.037
Pocillopora verrucosa,Low,1.20095406,7.595
Acropora tenuis,Low,0.79415147,8.661
Seriatopora hystrix,Low,0.558332726,9.597
Acropora tenuis,High,1.396173487,11.536
Acropora nana,Low,1.495422247,6.735
Porites cylindrica,High,0.610874142,6.773
Acropora nana,Low,1.143111818,6.816
Porites cylindrica,Low,1.395931561,2.766
Dipsastraea pallida,Low,0.87560628,5.614
Seriatopora hystrix,Low,1.051432373,4.29
Acropora nana,High,1.648689064,4.285
Pocillopora verrucosa,High,0.99463882,11.566
Pocillopora verrucosa,Low,2.100421453,4.61
Pocillopora damicornis,High,1.664701955,7.386
Seriatopora hystrix,High,1.562968105,6.054
Acropora tenuis,High,1.836549577,3.791
Dipsastraea pallida,Low,0.714835076,3.053
Seriatopora hystrix,Low,1.343837697,3.265
Pocillopora verrucosa,Low,0.914358615,8.598
Acropora nana,High,1.337678253,6.637
Pocillopora verrucosa,Low,1.41004009,6.222
Acropora nana,High,1.615290659,8.015
Pocillopora verrucosa,Low,2.414775262,4.781
Porites cylindrica,High,2.565281178,4.909
Seriatopora hystrix,Low,1.160895707,2.744
Porites cylindrica,High,1.001594477,4.673
Porites cylindrica,High,1.162935065,5.72
Porites cylindrica,Low,0.842949254,9.13
Dipsastraea pallida,Low,1.198667795,3.265
Pocillopora verrucosa,Low,1.110146635,9.013
Acropora tenuis,High,1.594511364,5.424
Favites halicora,Low,0.263289479,8.422
Pocillopora verrucosa,High,1.561699597,10.47
Heliopora coerulea,Low,0.98855828,4.556
Seriatopora hystrix,Low,1.249140337,4.442
Dipsastraea pallida,Low,0.760167347,4.963
Pocillopora verrucosa,High,0.355466817,26.193
Porites cylindrica,High,0.458134318,7.521
Favites halicora,Low,0.394238504,3.523
Porites cylindrica,Low,0.908063252,7.106
Porites cylindrica,Low,1.04760243,6.55
Pocillopora verrucosa,High,1.371029804,6.607
Acropora nana,Low,1.466542132,4.011
Porites cylindrica,High,0.9839468,3.959
Pocillopora damicornis,High,2.385915295,3.07
Favites pentagona,High,0.392772649,6.029
Acropora hyacinthus,High,0.668453257,9.995
Pocillopora verrucosa,High,1.332936744,8.438
Seriatopora hystrix,High,2.073410131,5.356
Pocillopora verrucosa,Low,1.768508362,4.396
Pocillopora verrucosa,Low,2.44555915,4.201
Pocillopora verrucosa,Low,2.09887002,2.513
Favites pentagona,High,0.543740552,6.916
Pocillopora verrucosa,High,2.208166188,3.704
Dipsastraea pallida,High,1.131580837,11.717
Favites halicora,Low,0.471979944,5.229
Acropora tenuis,Low,0.846375506,6.965
Acropora tenuis,Low,0.551792231,10.215
Pocillopora damicornis,High,0.897212813,11.987
Pocillopora verrucosa,High,1.882426132,9.304
Seriatopora hystrix,High,1.354167307,4.323
Acropora nana,High,1.557952997,7.16
Seriatopora hystrix,High,2.03701171,6.965
Seriatopora hystrix,Low,1.044227544,6.094
Pocillopora verrucosa,Low,2.4228292320000002,4.141
Porites cylindrica,Low,0.733955054,2.267
Seriatopora hystrix,High,1.435609935,2.907
Porites cylindrica,High,0.631037631,10.088
Favites pentagona,Low,0.261179673,6.108
Pocillopora verrucosa,High,0.672513611,7.657
Acropora tenuis,High,1.155397255,10.21
Pocillopora verrucosa,High,1.204089852,15.353
Galaxea fascicularis,Low,0.334700515,15.619
Heliopora coerulea,Low,0.49573977,2.901
Favites halicora,High,0.516182263,6.241
Seriatopora hystrix,Low,1.08793352,4.548
Pocillopora verrucosa,High,3.974338094,2.668
Porites cylindrica,Low,1.288836516,5.866
Seriatopora hystrix,High,1.211025229,14.423
Dipsastraea pallida,High,0.951560995,2.888
Pocillopora damicornis,Low,1.303551011,2.779
